date,eur001mindex,eur002mindex,eur003mindex,eur006mindex,eur009mindex,eusa1fcurncy,eusa2curncy,eusa3curncy,eusa4curncy,eusa5curncy,eusa6curncy,eusa7curncy,eusa8curncy,eusa9curncy,eusa10curncy,eusa12curncy,eusa15curncy,eusa20curncy,eusa30curncy
Apr.11,1.236999989,1.269999981,1.38499999,1.674999952,1.909000039,2.171000004,2.332000017,2.624000072,2.838999987,3.01699996,3.169500113,3.279999971,3.378000021,3.471999884,3.539499998,3.684499979,3.838500023,3.917999983,3.781500101
May.11,1.228000045,1.292999983,1.432999969,1.712000012,1.930999994,2.038000107,2.154000044,2.367500067,2.576999903,2.771500111,2.923500061,3.050800085,3.161799908,3.259500027,3.344799995,3.506999969,3.671000004,3.748800039,3.625499964
Jun.11,1.325000048,1.414000034,1.547000051,1.787999988,1.968999982,2.082999945,2.173500061,2.390500069,2.611999989,2.805000067,2.974499941,3.110800028,3.234999895,3.323999882,3.417299986,3.588000059,3.767999887,3.887500048,3.842499971
Jul.11,1.432999969,1.493999958,1.608999968,1.82099998,1.991999984,1.878999949,1.907999992,2.064500093,2.263499975,2.46449995,2.654500008,2.794500113,2.919500113,3.039499998,3.122499943,3.319000006,3.49000001,3.527499914,3.405499935
Aug.11,1.350999951,1.41900003,1.542000055,1.748999953,1.911000013,1.55250001,1.572000027,1.73300004,1.940000057,2.162499905,2.365999937,2.540499926,2.667999983,2.750499964,2.874000072,3.042500019,3.223999977,3.311000109,3.198999882
Sep.11,1.355999947,1.424999952,1.55400002,1.753000021,1.916000009,1.513000011,1.503000021,1.583500028,1.769000053,1.960999966,2.124500036,2.261499882,2.368000031,2.451499939,2.532999992,2.673500061,2.805000067,2.83949995,2.723999977
Oct.11,1.366999984,1.450999975,1.590999961,1.787999988,1.957000017,1.528499961,1.494500041,1.620499969,1.720000029,1.904000044,2.149499893,2.181999922,2.298000097,2.494499922,2.477499962,2.621999979,2.775000095,2.825000048,2.722500086
Nov.11,1.210000038,1.309000015,1.47300005,1.700999975,1.873000026,1.424499989,1.428500056,1.582000017,1.819000006,2.049000025,2.233999968,2.395800114,2.522300005,2.626499891,2.720499992,2.887000084,3.022000074,3.026000023,2.857000113
Dec.11,1.024000049,1.177999973,1.355999947,1.616999984,1.791000009,1.320500016,1.3125,1.355999947,1.536000013,1.723999977,1.906999946,2.065000057,2.187999964,2.290999889,2.381000042,2.530999899,2.65899992,2.686000109,2.555000067
Jan.12,0.713,0.917999983,1.125,1.417999983,1.605000019,1.157999992,1.12530005,1.182500005,1.340000033,1.534000039,1.72300005,1.888499975,2.025500059,2.139499903,2.239500046,2.404000044,2.551000118,2.583499908,2.477499962
Feb.12,0.56400001,0.765999973,0.98299998,1.279000044,1.460000038,1.104500055,1.103500009,1.197999954,1.361999989,1.549999952,1.735000014,1.901000023,2.040499926,2.155999899,2.254499912,2.424999952,2.566499949,2.616499901,2.516499996
Mar.12,0.419,0.583000004,0.77700001,1.077999949,1.261999965,1.034500003,1.073500037,1.200999975,1.399999976,1.590000033,1.761999965,1.92750001,2.069499969,2.188499928,2.290499926,2.476999998,2.601000071,2.65350008,2.541500092
Apr.12,0.400000006,0.518999994,0.708000004,0.998000026,1.162999988,0.904999971,0.919499993,1.039499998,1.225000024,1.416499972,1.610999942,1.787999988,1.937999964,2.062999964,2.173000097,2.37229991,2.535000086,2.594000101,2.493999958
May.12,0.386000007,0.486999989,0.667999983,0.94599998,1.093999982,0.861000001,0.85799998,0.920000017,1.029999971,1.167000055,1.297000051,1.412999988,1.50999999,1.605999947,1.684000015,1.807000041,1.914999962,1.924499989,1.864500046
Jun.12,0.372999996,0.474999994,0.652999997,0.930000007,1.075999975,0.837000012,0.861500025,0.951499999,1.118999958,1.305999994,1.49849999,1.653499961,1.784500003,1.898499966,1.99849999,2.153000116,2.282700062,2.30250001,2.281500101
Jul.12,0.149000004,0.238000005,0.388999999,0.671000004,0.811999977,0.596000016,0.600499988,0.685000002,0.827499986,1.019999981,1.21449995,1.386000037,1.534000039,1.66050005,1.771499991,1.954900026,2.124000072,2.179500103,2.220999956
Aug.12,0.120999999,0.177000001,0.277999997,0.537,0.67900002,0.479999989,0.501999974,0.592999995,0.745999992,0.93599999,1.136000037,1.31099999,1.463999987,1.595999956,1.712000012,1.905200005,2.086999893,2.167000055,2.193000078
